keyword,renglon,prioridad,activo
transporte de personas,141,100,true
servicio de transporte,141,95,true
pacientes,141,80,true
adultos mayores,141,80,true
flete,142,100,true
traslado de mercadería,142,90,true
envío,142,80,true
papel bond,241,100,true
papel,241,80,true
cartulina,242,80,true
cartón,243,80,true
combustible,262,100,true
gasolina,262,100,true
diesel,262,100,true
lubricante,262,90,true
medicina,266,100,true
medicamento,266,100,true
farmacéutico,266,90,true
pintura,267,100,true
tinte,267,90,true
colorante,267,90,true
pvc,268,100,true
p.v.c,268,100,true
tubo pvc,268,100,true
tubo de,268,90,true
drenaje,268,90,true
durman,268,90,true
tee para drenaje,268,100,true
reducidor,268,95,true
agua potable,268,90,true
pegamento,269,95,true
químico,269,80,true
cemento,274,100,true
ecocem,274,100,true
piedrín,223,100,true
piedrin,223,100,true
arena,223,100,true
selecto,223,95,true
piedra,223,95,true
arcilla,223,90,true
útiles de oficina,291,100,true
utiles de oficina,291,100,true
tóner,291,95,true
toner,291,95,true
lapicero,291,90,true
folder,291,90,true
limpieza,292,100,true
desinfectante,292,90,true
escoba,292,90,true
mopa,292,90,true
jabón,292,85,true
cable,297,90,true
eléctrico,297,90,true
tomacorriente,297,90,true
bombillo,297,80,true
repuesto,298,90,true
accesorio,298,80,true
computadora,328,100,true
laptop,328,100,true
impresora,328,95,true
equipo de cómputo,328,100,true
